model_a,model_b,pearson_r
graspnet_backbone,lift3d_clip_progressive_alpha05,0.999773996598991
graspnet_backbone,lift3d_clip_raw,0.12937484538704647
graspnet_backbone,lift3d_dinov2_progressive_alpha05,0.9982015623287023
graspnet_backbone,lift3d_dinov2_raw,0.13549163191796518
graspnet_backbone,vggt_distill,0.2565341646208771
graspnet_backbone,vggt_fusion_progressive_alpha05,0.9971721574926329
graspnet_backbone,vggt_prog_enc_lora,0.9971721574926329
graspnet_backbone,vggt_progressive_alpha05,0.9971721574926329
graspnet_backbone,vggt_raw,0.07940334329087687
lift3d_clip_progressive_alpha05,lift3d_clip_raw,0.12500638173417822
lift3d_clip_progressive_alpha05,lift3d_dinov2_progressive_alpha05,0.9979479458913022
lift3d_clip_progressive_alpha05,lift3d_dinov2_raw,0.137226763230102
lift3d_clip_progressive_alpha05,vggt_distill,0.2560325404948042
lift3d_clip_progressive_alpha05,vggt_fusion_progressive_alpha05,0.996994889864828
lift3d_clip_progressive_alpha05,vggt_prog_enc_lora,0.996994889864828
lift3d_clip_progressive_alpha05,vggt_progressive_alpha05,0.996994889864828
lift3d_clip_progressive_alpha05,vggt_raw,0.0823855211426154
lift3d_clip_raw,lift3d_dinov2_progressive_alpha05,0.1336450195768056
lift3d_clip_raw,lift3d_dinov2_raw,0.06762177212427538
lift3d_clip_raw,vggt_distill,0.03287830815599305
lift3d_clip_raw,vggt_fusion_progressive_alpha05,0.11531230360810407
lift3d_clip_raw,vggt_prog_enc_lora,0.11531230360810407
lift3d_clip_raw,vggt_progressive_alpha05,0.11531230360810407
lift3d_clip_raw,vggt_raw,-0.18864774155848738
lift3d_dinov2_progressive_alpha05,lift3d_dinov2_raw,0.12406088645136819
lift3d_dinov2_progressive_alpha05,vggt_distill,0.24938738819871523
lift3d_dinov2_progressive_alpha05,vggt_fusion_progressive_alpha05,0.9962272102172957
lift3d_dinov2_progressive_alpha05,vggt_prog_enc_lora,0.9962272102172957
lift3d_dinov2_progressive_alpha05,vggt_progressive_alpha05,0.9962272102172957
lift3d_dinov2_progressive_alpha05,vggt_raw,0.07547072331397427
lift3d_dinov2_raw,vggt_distill,0.14478582768739792
lift3d_dinov2_raw,vggt_fusion_progressive_alpha05,0.1319197830998152
lift3d_dinov2_raw,vggt_prog_enc_lora,0.1319197830998152
lift3d_dinov2_raw,vggt_progressive_alpha05,0.1319197830998152
lift3d_dinov2_raw,vggt_raw,-0.19286634607213946
vggt_distill,vggt_fusion_progressive_alpha05,0.24284456136833527
vggt_distill,vggt_prog_enc_lora,0.24284456136833527
vggt_distill,vggt_progressive_alpha05,0.24284456136833527
vggt_distill,vggt_raw,0.6976003378085189
vggt_fusion_progressive_alpha05,vggt_prog_enc_lora,1.0
vggt_fusion_progressive_alpha05,vggt_progressive_alpha05,1.0
vggt_fusion_progressive_alpha05,vggt_raw,0.07989632022200768
vggt_prog_enc_lora,vggt_progressive_alpha05,1.0
vggt_prog_enc_lora,vggt_raw,0.07989632022200768
vggt_progressive_alpha05,vggt_raw,0.07989632022200768
